,0
0,A1bg
1,A1cf
2,A2ml1
3,Aaas
4,Aacs
5,Aadac
6,Aadat
7,Aaed1
8,Aagab
9,Aak1
10,Aamdc
11,Aamp
12,Aar2
13,Aars
14,Aars2
15,Aasdhppt
16,Aass
17,Aatf
18,Abat
19,Abca1
20,Abca2
21,Abca3
22,Abca6
23,Abca8a
24,Abca8b
25,Abcb10
26,Abcb11
27,Abcb1a
28,Abcb1b
29,Abcb4
30,Abcb6
31,Abcb7
32,Abcb8
33,Abcc2
34,Abcc3
35,Abcc6
36,Abcd1
37,Abcd2
38,Abcd3
39,Abcd4
40,Abce1
41,Abcf1
42,Abcf2
43,Abcf3
44,Abcg2
45,Abcg5
46,Abcg8
47,Abhd11
48,Abhd12
49,Abhd13
50,Abhd14a
51,Abhd14b
52,Abhd15
53,Abhd16a
54,Abhd17a
55,Abhd17b
56,Abhd17c
57,Abhd18
58,Abhd2
59,Abhd3
60,Abhd4
61,Abhd5
62,Abhd6
63,Abi1
64,Abl1
65,Abl2
66,Ablim1
67,Ablim3
68,Abracl
69,Abraxas2
70,Abt1
71,Abtb1
72,Abtb2
73,Acaa1a
74,Acaa1b
75,Acaa2
76,Acaca
77,Acacb
78,Acad10
79,Acad11
80,Acad12
81,Acad8
82,Acad9
83,Acadl
84,Acadm
85,Acads
86,Acadsb
87,Acadvl
88,Acap2
89,Acat1
90,Acat2
91,Acat3
92,Acbd3
93,Acbd4
94,Acbd5
95,Acbd6
96,Acd
97,Acer3
98,Acin1
99,Acly
100,Acmsd
101,Acnat1
102,Acnat2
103,Aco1
104,Aco2
105,Acot1
106,Acot12
107,Acot13
108,Acot2
109,Acot4
110,Acot7
111,Acot8
112,Acox1
113,Acox2
114,Acox3
115,Acp1
116,Acp2
117,Acp5
118,Acp6
119,Acpp
120,Acsf2
121,Acsl1
122,Acsl3
123,Acsl4
124,Acsl5
125,Acsm1
126,Acsm3
127,Acsm5
128,Acss2
129,Acss3
130,Actb
131,Actg1
132,Actl6a
133,Actn1
134,Actn4
135,Actr10
136,Actr1a
137,Actr1b
138,Actr2
139,Actr3
140,Actr6
141,Actr8
142,Acvr1
143,Acvr2a
144,Acy1
145,Acy3
146,Acyp1
147,Acyp2
148,Adal
149,Adam10
150,Adam17
151,Adam1a
152,Adam9
153,Adamts1
154,Adap2
155,Adar
156,Adck1
157,Adck2
158,Adck5
159,Adcy6
160,Adcy9
161,Add1
162,Add2
163,Add3
164,Adgra3
165,Adgrl2
166,Adh1
167,Adh4
168,Adh5
169,Adh7
170,Adhfe1
171,Adi1
172,Adipor1
173,Adipor2
174,Adk
175,Ado
176,Adora1
177,Adpgk
178,Adprh
179,Adprhl2
180,Adprm
181,Adra1b
182,Adrm1
183,Adsl
184,Adss
185,Adssl1
186,Adtrp
187,Aebp2
188,Aes
189,Afdn
190,Aff1
191,Aff4
192,Afg1l
193,Afg3l2
194,Afm
195,Aftph
196,Aga
197,Agap1
198,Agap3
199,Agbl3
200,Agfg1
201,Agfg2
202,Aggf1
203,Agl
204,Agmat
205,Agmo
206,Ago1
207,Ago2
208,Agpat2
209,Agpat3
210,Agpat5
211,Agps
212,Agrn
213,Agrp
214,Agt
215,Agtpbp1
216,Agtr1a
217,Agxt
218,Agxt2
219,Ahctf1
220,Ahcy
221,Ahcyl1
222,Ahcyl2
223,Ahdc1
224,Ahnak
225,Ahr
226,Ahsa1
227,Ahsa2
228,Ahsg
229,Aida
230,Aifm1
231,Aifm2
232,Aig1
233,Aimp1
234,Aimp2
235,Aip
236,Ajuba
237,Ak2
238,Ak3
239,Ak4
240,Ak6
241,Akap1
242,Akap10
243,Akap11
244,Akap13
245,Akap17b
246,Akap7
247,Akap8
248,Akap8l
249,Akap9
250,Akip1
251,Akirin1
252,Akirin2
253,Akr1a1
254,Akr1b7
255,Akr1c12
